lead_id,create_date,lead_age_days,expected_revenue,probability,stage_id,stage_sequence,source_id,campaign_id,salesperson_id,team_id,customer_region,priority,is_won,create_month,create_dayofweek,log_expected_revenue,rev_per_day_age
9000,2025-11-30 09:19:36,7,800.0,0.5,3,3,2.0,14.0,16,6,Quang Nam,3,0,2025-11,6,6.685860947068359,114.28571428571429
9001,2025-11-30 09:19:36,20,100000.0,0.5893,1,4,15.0,14.0,2,6,Can Tho,3,0,2025-11,6,11.51293546492023,5000.0
9002,2025-11-30 09:19:36,29,50000.0,1.0,1,2,1.0,12.0,14,5,Hai Duong,1,0,2025-11,6,10.819798284210286,1724.1379310344828
9003,2025-11-30 09:19:36,15,500.0,0.5,1,2,16.0,15.0,2,1,Lam Dong,0,0,2025-11,6,6.2166061010848646,33.333333333333336
9004,2025-11-30 09:19:36,11,50000.0,0.5893,1,0,3.0,15.0,3,7,Da Nang,1,0,2025-11,6,10.819798284210286,4545.454545454545
9005,2025-11-30 09:19:36,8,500.0,0.5,1,0,4.0,Unknown,8,5,Binh Duong,1,0,2025-11,6,6.2166061010848646,62.5
9006,2025-11-30 09:19:36,29,500.0,0.9167,4,4,16.0,12.0,3,1,Da Nang,2,0,2025-11,6,6.2166061010848646,17.24137931034483
9007,2025-11-30 09:19:36,21,500.0,0.5,1,4,2.0,Unknown,14,8,Quang Ninh,1,0,2025-11,6,6.2166061010848646,23.80952380952381
9008,2025-11-30 09:19:36,7,800.0,0.5893,4,4,4.0,16.0,7,6,Quang Ninh,0,0,2025-11,6,6.685860947068359,114.28571428571429
9009,2025-11-30 09:19:36,26,500.0,0.9167,1,3,2.0,12.0,3,7,Can Tho,3,0,2025-11,6,6.2166061010848646,19.23076923076923
9010,2025-11-30 09:19:36,19,9000.0,1.0,5,0,4.0,1.0,14,7,Ha Noi,1,0,2025-11,6,9.105090961257085,473.6842105263158
9011,2025-11-30 09:19:36,23,1000000.0,0.5893,5,3,3.0,1.0,1,7,Quang Ninh,3,1,2025-11,6,13.815511557963774,43478.260869565216
9012,2025-11-30 09:19:36,11,50000.0,0.5,5,0,1.0,13.0,15,6,Quang Ninh,1,0,2025-11,6,10.819798284210286,4545.454545454545
9013,2025-11-30 09:19:36,11,0.0,0.5893,5,0,3.0,12.0,3,1,Ho Chi Minh,3,0,2025-11,6,0.0,0.0
9014,2025-11-30 09:19:36,24,500000.0,0.9167,4,2,15.0,15.0,1,5,Binh Duong,1,0,2025-11,6,13.122365377402328,20833.333333333332
9015,2025-11-30 09:19:36,21,100000.0,0.5,4,0,Unknown,14.0,2,1,Lam Dong,2,0,2025-11,6,11.51293546492023,4761.9047619047615
9016,2025-11-30 09:19:36,4,800.0,0.5,3,0,1.0,2.0,13,5,Ho Chi Minh,3,1,2025-11,6,6.685860947068359,200.0
9017,2025-11-30 09:19:36,8,0.0,1.0,1,3,3.0,13.0,8,7,Binh Duong,1,0,2025-11,6,0.0,0.0
9018,2025-11-30 09:19:36,24,15000.0,0.5893,5,0,15.0,14.0,2,1,Lam Dong,1,1,2025-11,6,9.61587214452889,625.0
9019,2025-11-30 09:19:36,3,9000.0,0.5893,4,3,Unknown,1.0,2,7,Hue,2,0,2025-11,6,9.105090961257085,3000.0
